Teks,Label
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/ZbshM8rouE',Positif
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/ughKmiaWX8',Positif
b'Kementerian Kesehatan memperbaharui data harian penularan virus corona di Indonesia. #kumparanNews #jagajarak https://t.co/ZFM7nonGGn',Netral
"b'Pandemi virus corona membuat industri sepakbola Indonesia luluh lantak, terselenggaranya Piala Menpora diharapkan bisa menjadi titik kebangkitan.\n\nhttps://t.co/S671UqyVe5'",Negatif
"b'@PutraWadapi Ampun pak, 1 periode aja janji tinggal janji...2 periode hutang menggunung ...ekonomi minus tai ada kambing hitam namanya virus  Corona...3 periode Indonesia karam pak...'",Negatif
"b'@nnnnnadia_ Tes negatifnya di UK sebelum terbang kan?\nMereka masih berpotensi terpapar corona di perjalanan dari UK ke Indonesia, makanya harus isolasi lalu tes PCR lagi setelah 5 hari isolasi.'",Negatif
b'Suntikan Perdana Vaksin Covid-19 AstraZeneca di Indonesia Diberikan Kepada Para Kiai di Jawa Timur https://t.co/8fvkVKnL2g',Positif
b'Kec. Neglasari\n\n- Pelantikan Pengurus Pimpinan Cabang Dewan Indonesia (DMI) Kota Tangerang\n\n#kotatangerang\n#tangerangkota\xc2\xa0\n#tangerangayo\n#tangeranglive\n#kegiatankecamatan\n#kecamatan\n#wawaran\n#sidak\n#corona\n#covid19\n#siaranpers\n#beritakota https://t.co/HQZI58dd6p',Netral
"b""Dibuat dari sel janin hasil aborsi, Vatikan: Vaksin corona 'secara moral dapat diterima',\nhttps://t.co/FXMYAfDK32""",Netral
"b""'Jangankan Irene, GM internasional pun bisa kita kalahkan. Belum tau mereka the power of bapak\xc2\xb2 main catur di pos sambil sebat dan ngopi'.  Kok analoginya mirip awal\xc2\xb2 corona; 'Indonesia kebal corona krn sudah digembleng tiap hari hadapin borax, formalin, pewarna pakaian, plastik'""",Netral
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/6ul5MuzhoF',Positif
"b'Penularan Covid Turun, Saham RALS &amp; MPPA Cs Mulai Naik Daun: Jakarta, CNBC Indonesia - Saham emiten ritel sepertinya mulai bangkit kembali, setelah kasus aktif virus corona (Covid-19) di Indonesia yang mulai\xc2\xa0... https://t.co/xyfOOcPzU7 #saham #investasi'",Negatif
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/a3dtM6M8HA',Positif
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/PLlJn0hzWx',Positif
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/4XzcvZ9p5h',Positif
b'Indonesia sudah setahun lebih dihantam oleh pandemi COVID-19. Wabah tersebut meluluhlantakkan perekonomian. Imbasnya pun dirasakan ke sektor perpajakan. https://t.co/FU8hrh6PrR',Positif
b'@Vaksin_Update Siap siap karna #AstraZenecaLawanCorona\nTetap optimis menjadikan Indonesia bersih dri corona',Positif
"b'18.28 #BeritaSONORA - UPDATE Kasus Corona Indonesia 22 Maret 2021: Positif 5.744, Sembuh 7.177, Meninggal 161\n @tribunnews\nhttps://t.co/zyT0Un0ZQz'",Positif
"b'UPDATE Kasus Corona Indonesia 22 Maret 2021: Positif 5.744, Sembuh 7.177, Meninggal 161\n \nhttps://t.co/rOYcj8fcuq'",Positif
"b'BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif - Tribunnews https://t.co/sb3cdQQHWU https://t.co/r1V8kNBZoB'",Positif
"b'Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. \nPerwakilan Organisasi Kesehatan Dunia (WHO), Navaratnasamy Paranietharan \n#VaksinUntukIndonesiaSehat #SukseskanProtokolKesehatan https://t.co/29RifxpU9b'",Positif
"b'Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. \nPerwakilan Organisasi Kesehatan Dunia (WHO), Navaratnasamy Paranietharan \n\n#VaksinUntukIndonesiaSehat #SukseskanProtokolKesehatan https://t.co/BTmfLiXSOL'",Positif
"b'Vaksinasi COVID-19 bawa angin segar untuk industri film dan musik: Keberadaan vaksin COVID-19 diharapkan bisa membawa angin segar untuk industri perfilman dan musik di Indonesia yang sejak tahun lalu terdampak pandemi virus corona.Direktur Perfilman,\xe2\x80\xa6 https://t.co/4mdaWkaseO https://t.co/BuZR8VkgEr'",Positif
"b'Kasus positif COVID-19 di Indonesia per 22 Maret 2021 bertambah 5.744, total menjadi 1.465.928 orang. Dari data ini, 128.250 merupakan kasus aktif atau pasien dalam perawatan.\n\nhttps://t.co/dTJ05WtDPM'",Positif
"b'Nggak terasa, pandemi COVID -19 sudah ada di Indonesia selama setahun lebih, dan semakin banyak juga varian Virus Corona baru yang masuk ke Tanah Air, salah satunya varian B117 yang belakangan ini jadi bahan perbincangan banyak orang. https://t.co/cMEn2JxPiO'",Positif
"b'Saat ini Indonesia masih dilanda wabah pandemi, virus Corona yang hingga saat ini masih menyebar. Sudah banyak korban yang terpapar virus Corona, bahkan sudah banyak korban yang meninggal akibat terpapar virus tersebut.'",Positif
"b'Update jumlah penderita Covid-19 di Indonesia , Hari Jumat 19 Maret  2021. Mari kita jaga kesehatan kita &amp; orang-orang disekitar kita , Selalu cuci tangan, Jaga Jarak  dan #pakaimasker Sobat Jak\n\n#bersatulawancovid19 #COVID19 #corona #coronavirus #jaktv #jakarta #indonesia https://t.co/xh1dES7a3W'",Netral
"b'BREAKING NEWS: Update Kasus Corona di Indonesia per 22 Maret 2021, + 7.177 Sembuh\nhttps://t.co/LQalNxNzLR via @YouTube'",Netral
"b'Data per 22 Maret 2021, pasien konfirmasi corona di Indonesia mencapai 1.465.928 orang. Jumlah pasien sembuh 1.297.967 orang dan 39.711 orang lainnya meninggal dunia. \n#BersatuLawanCovid19 #cerdascovid19 #updatecorona #updatecovid19 #corona #viruscorona #covid19 https://t.co/cw3B8qRKDf'",Netral
"b'#Rey Mbayang Positif Corona, Manajer Sebut Kondisi Cukup Parah - CNN Indonesia #Corona #Korona'",Positif
"b'#BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif - https://t.co/wXAYvAkF5n #Corona #Korona'",Positif
"b'Jumlah pasien konfirmasi positif terpapar virus Corona di Indonesia bertambah 5.744. Sehingga, totalnya kini menjadi 1.465.928 kasus. #KAMUHARUSTAU\n\nhttps://t.co/5O0VIjXeoI'",Positif
"b'BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif\nhttps://t.co/rrxirDlN7f\n\n#BeritaSonora via @tribunnews'",Positif
"b'BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif\n \nhttps://t.co/v3PKQv5c6v'",Positif
b'Ribuan Vial Vaksin Covid-19 AstraZeneca Telah Didistribusikan ke Sejumlah Provinsi Indonesia https://t.co/6ulMxc5rg9',Netral
b'#Update Corona Indonesia Sore Ini &amp; Dunia: RI Tambah 4.396 Kasus - https://t.co/texDkHg2E5 #Corona #Korona',Netral
"b'Kemenkeu: Indonesia Butuh Rp58 Triliun untuk Vaksinasi Virus Corona: Suahasil mengatakan, vaksinasi diperlukan oleh Indonesia untuk mencapai kekebalan kelompok (herd immunity). Hingga kini sebanyak 185 juta masyarakat Indonesia ditargetkan bisa menerima\xe2\x80\xa6 https://t.co/biezGCedgR'",Netral
b'Cuk!. \xf0\x9f\x96\x95\n\nIndonesia Diminta Tak Boleh Gugat Jika Efek Vaksin Corona Membahayakan https://t.co/xi1HNYdNyA',Negatif
"b'Sebelum ada virus Corona, Indonesia pernah dihebohkan oleh virus Brontok.\n\n#menolaktua\n#menolaklupa'",Negatif
b'@KBinsa @TjahjantoHadi @Puspen_TNI @DivHumas_Polri @kemkominfo @KemenkesRI @Kemdikbud_RI @WHO yukk...ambil bagian kalian untuk Indonesia Sehat. Kita dukung program vaksinasi nasional demi memutus mata rantai penyebaran virus corona.',Positif
"b'WASPADA COVID-19\nYuk patuhi protokol kesehatan 5M untuk mencegah penyebaran virus Corona,\n\n.\n\n#HumasPoldaKepri #PoldaKepri #Multimediapoldakepri #Adaptasikebiasaanbaru #LawanCovid19 #Kepri #Indonesia #DisiplinBersamaPolri https://t.co/UOi2bvhFEU'",Netral
"b'Pasien Sembuh Corona di Indonesia Capai 88,4 Persen https://t.co/BVbeZR8wNt https://t.co/ZqBKMOzv80'",Netral
"b'Program vaksinasi mandiri nampaknya akan segera berjalan. Hal ini terungkap setelah Menteri BUMN menyatakan bahwa kemungkinan akan ada 3,5 juta dosis vaksin corona yang akan tiba di Indonesia pada bulan Maret 2021.'",Netral
b'Yukk cek gejala Corona varian baru B117 #pcr #pcrtest #swab #swabantigen #jakarta #indonesia https://t.co/Cc5gMaK1qQ',Positif
b'Pemerintah Indonesia diminta mengedukasi publik tentang pentingnya imunisasi virus corona karena keputusan MUI mengharamkan vaksin AstraZeneca - namun boleh digunakan lantaran darurat - dikhawatirkan mengurangi minat melakukan vaksinasi.https://t.co/w86iESnfkx',Netral
"b'Pemerintah sudah mulai mendistribusikan vaksin corona AstraZeneca ke berbagai daerah di Indonesia. Di antaranya, Kemenkes mengungkap jika vaksin ini sampai di Jawa Timur dan Bali. https://t.co/6CipBYIcFt'",Negatif
"b'Janggal gk sih? penumpang anonim yg positif corona bisa ada di dlm pesawat yg ada rombongan tim bultang indonesia,, https://t.co/Md0DD3piMF'",Negatif
"b'PPKM Mikro Dilanjutkan, Airlangga Hartarto: Perkembangan yang Membaik\n\nhttps://t.co/WQmbHL5wJx \n\n#ppkm #mikro #airlanggahartarto #hartarto #perkembangan #membaik #efektif #covid19 #nasional #indonesia #virus #corona #persentasi #aktif #kesehatan #prmn #pikiranrakyat'",Positif
"b""Wakil Presiden Ma'ruf Amin meminta kehalalan vaksin Corona merek AstraZeneca tidak lagi menjadi persoalan. Sebab, menurutnya Majelis Ulama Indonesia (MUI) sudah memperbolehkan\nhttps://t.co/2eOaDSnbFV""",Netral
b'Ketua Majelis Ulama Indonesia Jawa Timur (MUI Jatim) KH Hasan Mutawakkil Alallah bersama sejumlah ulama lainnya di Jatim menjalani vaksinasi di Pendopo Delta Wibawa Sidoarjo. #kumparanNews https://t.co/xl5UNZxeUO',Negatif
"b'Sebenarnya dari tahun 2016/2017 aku dah tau BTS tp cuma tau aja, itu karena ada temen sekelas aku yg jadi army terus sering sebutin BTS gitu. Terus tahun 2020 corona muncul di Indonesia dan semua aktivitas ditiadakan, nah pas itu aku gabut banget (+)\n#ArmyConfessionTime https://t.co/Oa2IlFdols'",Positif
b'Prof Zubairi Djoerban selaku Ketua Satgas Ikatan Dokter Indonesia (IDI) mengatakan bahwa varian baru virus corona yakni B117 lebih mematikan ketimbang virus yang ada saat ini. #KAMUHARUSTAU #Satgas #Covid19 #Corona\nhttps://t.co/lBpWLRn4HH',Positif
"b'corona hilang, gw mau tamasya ke indonesia bagian timur bismillah!!'",Netral
"b'Jaga Diri, Jaga Keluarga dan Jaga Negara, akhiri wabah Corona di Indonesia Dengan Tertib memakai Masker. https://t.co/DeqlxDrWxp'",Netral
b'Mari bersama kita lawan Corona dengan dukung program vaksin untuk indonesia yang lebih baik  #Waspada #mutasibaru #Vaksinasi #TetapDirumahAja SNMPTN https://t.co/e9e8r7T1ko',Positif
b'jauhi perkumpulan orang banyak dan senantiasa menjalankan prokes untuk indonesia bebas corona  #Waspada #mutasibaru #Vaksinasi #TetapDirumahAja SNMPTN https://t.co/Fg5pyZRRxn',Netral
b'TIMELINE INDONESIA MENGHADAPI VIRUS CORONA (COVID19) - https://t.co/QiNAk0uPId https://t.co/SqcZt2FRpW',Netral
"b'""AMBIL HIKMAHNYA  COVID 19""\nJika keadaan pendapatan mu\nBERKURANG\nUpaya kan amal SHOLEH dan PAHALA mu yang bertabah BANYAK.\n Semoga badai CORONA segera hancur dan musnah di muka bumi.\n Dan Allah SWT jadikan INDONESIA\n  BAlDATUN THOYYIBATUN WAROBBUN GHOFUR,,,, AAMIIN  AAMIIN YRA.'",Positif
b'For your information!\nWaspada Virus Corona di Tempat Beraktivitas\n\n#protokolkesehatan #COVID19 #indonesia https://t.co/qGh8z8dgv7',Netral
b'Pihak Astrazeneca membantah fatwa dan pernyataan MUI kalau vaksin Corona AstraZeneca mengandung babi. AstraZeneca Indonesia menyatakan vaksin buatannya tidak mengandung babi dan hewan lain dalam proses pembuatannya.\n\nMUI skrg kok ngaco sih...!\n\n@KemenkesRI\nhttps://t.co/oOx9X1ixdh',Positif
b'Update Sebaran Kasus Corona di Indonesia https://t.co/wPKakBLa9V',Netral
"b'Pasien Sembuh Corona di Indonesia Capai 88,4 Persen https://t.co/JUHlKFh4bd'",Netral
b'Perlu adanya kesadaran dan ketaatan mengikuti protokol kesehatan dari seluruh lapisan masyarakat agar bisa menekan penyebaran virus Corona di Indonesia',Netral
"b'MUI tetap memberikan lampu hijau penggunaan AstraZeneca, mengingat vaksin dinilai merupakan salah satu upaya mengendalikan pandemi virus corona di Indonesia. #CNNIndonesia #detiknetwork \n\nhttps://t.co/iP31eHyNjB'",Positif
"b""Suka Duka Nakes Tangani COVID-19, 'PHP' Insentif dan Positif Corona https://t.co/viBmwqEJio via @idntimes""",Positif
b'Ketua Satgas Ikatan Dokter Indonesia (IDI) Prof Zubairi Djoerban menyebut soal kemungkinan orang yang terinfeksi\xc2\xa0varian baru virus Corona\xc2\xa0meninggal dunia lebih tinggi.\nhttps://t.co/0SsIVDP7Y7 https://t.co/mpCCl2SbB2',Positif
"b'Pendahuluan\n\nHari Minggu, 28 Juni 2020 CNN Indonesia merilis berita dari istana bahwa Presiden Jokowi gusar terhadap kinerja Kementerian/ Lembaga yang bekerja biasa-biasa saja padahal bangsa ini sedang menghadapi masa krisis akibatpandemi Covid-19/Corona\n\nhttps://t.co/IHy4iol0X2 https://t.co/qExDc4YTTw'",Negatif
b'Dukung vaksinasi virus covid-19 agar Indonesia terbebas dari pandemi Corona https://t.co/OmUPIpzTBu',Positif
b'@sjatriadi1 @Candraasmara85 @Vi_MAE_ @Corona_KafirNw @buss1026btm2 @FerryNLangelo @ArisWila @helinujhoe @leonsys0305 @Ephraym9 @harihariono1 @Parapat_Nixon @MataIndonesia8 @g0bell_78 MUI Indonesia kebanyakan minum khamer makanya ngawur. MUI Srilangka yg bener dgn tutup 1000 pesantren yg diduga radikal dan pelarangan burkha. Sebelum terlambat mereka menempuh jalan yg sangat benar.',Positif
"b'OPS YUSTISI PROTOKOL KESEHATAN\n.\nBersama Kita Bisa, Indonesia Lawan Corona!\n\n#KemenPANRB\n#PelayananPublik\n#KIPP2021\n#JawaTimurBangkit\n#PolisiIndonesia\n#PolriPresisi \n\n@divisihumaspolri @humaspoldajatim @kemenpanrb @ditlantaspoldajatim @rtmcjatim @satlantasprobolinggo https://t.co/F707sTyjAe'",Netral
"b'@S4fitr1HS Dan banyak juga yang Kadrun mereka, gak percaya corona juga buanyaaak.... tapi ya sudahlah, mereka warga Indonesia juga yang butuh diberi perhatian oleh Presiden....'",Positif
"b'[WASPADA MUTASI VIRUS CORONA! ANCAMAN APA YANG DIBAWA?]\n\nVarian baru hasil mutasi virus COVID-19 sudah bermunculan di berbagai negara, salah satunya negara Indonesia. Ada tiga jenis kasus infeksi varian virus COVID-19 di Indonesia, dua di antaranya perlu dicemaskan karena (...) https://t.co/ZVeo70Sljw'",Netral
"b'Untuk Semua yang Bekerja sebagai Magang\nAda sistem yang dapat digunakan oleh magang, ketika pelaksana pemagangan meliburkan tempat kerja, apabila kena PHK, dan jika mencari pekerjaan baru akibat penyebaran virus corona jenis baru. https://t.co/2T3ifc82CI'",Positif
"b'Meskipun wabah Corona ini masih ada, namun tetap tra membuat PT Freeport Indonesia untuk berhenti berjuang bersama dengan putra-putri lokal Papua'",Netral
b'Indonesia saat ini sedang dlm keadaan mendesak berkaitan dg ancaman penularan virus corona. Fakta itu jd salah satu pertimbangan MUI membolehkan penggunaan vaksin AstraZeneca.\n#AstraZenecaLawanCorona',Netral
b'Indonesia saat ini sedang dlm keadaan mendesak berkaitan dg ancaman penularan virus corona. Fakta itu jd salah satu pertimbangan MUI membolehkan penggunaan vaksin AstraZeneca.\n#AstraZenecaLawanCorona',Netral
b'\xf0\x9f\x93\xb7 Ayo datang ke Puskesmas terdekat untuk ikut Vaksinasi Covid-19. Menuju Indonesia bebas Corona\xf0\x9f\x99\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xa9 #vaks\xc3\xacncovid19 #indonesialawancorona #pedulilindungi #lawancorona #bebascorona #IndonesiaMaju... https://t.co/GqH30ulGjH',Negatif
b'Ayo datang ke Puskesmas terdekat untuk ikut Vaksinasi Covid-19. \n\nMenuju Indonesia bebas Corona\xf0\x9f\x99\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\n#vaks\xc3\xacncovid19 \n#indonesialawancorona \n#pedulilindungi \n#lawancorona \n#bebascorona \n#IndonesiaMaju https://t.co/JXBNDo5gWx',Netral
b'Indonesia saat ini sedang dlm keadaan mendesak berkaitan dg ancaman penularan virus corona. Fakta itu jd salah satu pertimbangan MUI membolehkan penggunaan vaksin AstraZeneca.\n#AstraZenecaLawanCorona',Netral
b'Dahsyatnya efek samping Covid-19 :\n1. Pembuat kebijakan keuangan ga boleh digugat\n2. Pembuat Vaksin ga boleh digugat.\n\nIndonesia Diminta Tak Boleh Gugat Jika Efek Vaksin Corona Membahayakan \n\nhttps://t.co/fvfZ0SaybF',Positif
"b'@dr_koko28 Sekarang gni dok\nFlu itu virus juga kan tapi org yg sakit flu di amerika cina afrika n indonesia sama aja ngga ada bedanya\nTpi anehnya corona yg di cina meninggal di jalanan kejang"" tpi coba sebutin satu saja di selain cina dgn kondisi yg sama\nTentu hal ini nyata PEMBODOHANx'",Positif
b'Dukung vaksinasi virus covid-19 agar Indonesia terbebas dari pandemi Corona. #VaksinMembawaDampakBaik https://t.co/Sivu7pFBe2',Positif
"b""https://t.co/eqbAEOGtBo\n\nVaksinasi C-19 yg dilaksanakan di Indonesia menggunakan cara injeksi. Secara syar'i vaksinasi menggunakan injeksi/suntikan ini tidak membatalkan puasa.\n\nVaksin Jalan Puasa Lancar\n#VaksinTakBatalkanPuasa""",Positif
"b'Vaksinasi Covid-19 bertujuan untuk menurunkan angka penyebaran dan kematian akibat virus corona, dan juga jika sudah divaksin, maka dapat melindungi orang orang di sekitarnya. Papua Bagian Indonesia \n#DukungDanKawalOtsus #PapuaIndonesia https://t.co/Fk9KeI73Pj'",Negatif
"b'Drama Ojol Indonesia - #KitaVsCorona\nPerjuangan melawan Corona belum usai, Grab bekerja sama dengan Ind... - https://t.co/HZ1sDtuWQZ https://t.co/ZLLMpItG4r'",Netral
"b'Ketua tim advokasi pelaksanaan vaksinasi pengurus besar ikatan dokter Indonesia (IDI), Iris Rengganis mengemukakan bahwa belum ada penelitian tentang dampak dari vaksin Corona pada Ibu hamil\n\n#VaksinMembawaDampakBaik https://t.co/vHRhIeHhxb'",Positif
"b'Update Virus Corona Indonesia: 4.396 Kasus Baru Total 1.460.184 Orang, Sulsel 59022 Positif\n\nhttps://t.co/GseDIDWJNP'",Positif
"b'Yg ngatain Yuta juara jalur corona, atau menang gara-gara Indonesia gak maen parah sih, kayak gak pernah lihat badminton.\nYuta kalau lagi bener, ada China, Korea, Indonesiapun dia tetep bisa juara, buktinya dari 2018 dia selalu masuk final. 2019 doang gak juara.'",Positif
b'gue kangen sama mereka sedangkan mereka? baik\xc2\xb2 aja di sana mereka tau kita hidup ajah kaga\xf0\x9f\x99\x82\xf0\x9f\x98\xab.kita di sini nangis karena mikir bisa ga yah kita ketemu mereka tapi pasti bisa yakin\xe2\x9d\x97yu corona selesai yu biar mereka bisa konser di indonesia semangattt nabung nyaa \xf0\x9f\xa4\x8d\xf0\x9f\xa4\xb2',Positif
"b'@AlbertSolo2 Padahal waktu menjajah Indonesia, Belanda tidak akan meninggalkan 2 bidang yaitu Kesehatan dan Pendidikan, walaupun mereka menjajah namun 2 bidang itu harus dimuliakan..skr malah mereka yg mati akal menghadapi Corona 19 ini..gimana tuh ???'",Negatif
b'Mimin mengajak seluruh masyarakat Indonesia untuk mendukung program vaksinasi Covid-19. Vaksinasi aman dan halal demi melawan penyebaran Covid-19. Bersama kita bisa melawan virus corona! https://t.co/9OYjcpsJkg',Positif
"b'Beragam Prediksi Herd Immunity, Jadinya Kapan Indonesia Bebas Corona? https://t.co/nBbbsE6ec5'",Positif
"b'UPDATE Corona Indonesia, Minggu (21/3): Tambah 4.396 kasus baru, ingat prokes https://t.co/Om6OkCP36q #Terbaru #berita #kontan #live'",Positif
b'Pemerintah India Cemas Festival Kumbh Mela Bisa Picu Lonjakan Kasus Corona https://t.co/OBacpVhahT lewat @Id-Times - Berita Indonesia Terkini - Politik | Hukum | Ekonomi | Nasional',Netral
